stem,idf
nva,106
st'am,106
aeng,106
sm'a,106
aushn'i,105
aarti,105
dz'am,105
sne,105
syee,105
skri,104
tasta,104
n'i'i,104
thud,104
blu,104
rde,104
pratstsha,104
phyen,104
sk'a,104
ts'arya,103
smra',103
a'i'o,103
garbhe,103
kshum,103
barnna,103
kva'i,103
b'ana,103
'jugde,102
lur,102
cig'di,102
wa'o,102
zhva,101
dumb'a,101
byazhes,101
bidya,101
ta',101
pram,100
kulle,100
phyer,100
pim,100
shita,100
danti,100
lcam,99
bishnu,99
yen,99
tyee,99
kshim,99
sup,99
tt'a,99
smee,99
drishtv'a,99
a'it,99
nutpanna,99
aos,99
bighn'am,99
ber,98
sde',98
kantha,98
y,98
ghr'a,98
sig,98
ntu,98
snrel,98
bir,98
sgrig,97
mbha,97
snran,97
barti,97
warma,97
sga',97
rit,97
cum,96
rigces,96
rdum,96
aata'o,96
banda,96
sardza,96
ljid,96
spyi'u,96
gcigde,96
dusht'am,96
rsha,96
sarbam,96
dhishth'a,95
sanna,95
gee,95
taksha,95
sn'a,95
pee,95
bandu,95
pade,95
t'ikshna,95
krab,95
kasha,95
parna,95
ner,94
badzro,94
phre,94
hla,94
shth'a,94
shinyts'a,94
syam,93
sbrin,93
ai'o,93
dombi,93
skyib,92
karko,92
bantu,92
ranta,92
sh'ing,92
yanta,92
hang,91
chib,91
rdug,91
shnu,91
dagrang,91
ngu',91
durga,91
lyam,90
cen,90
ge',90
badzras,90
dhishthi,90
tsita,90
drum,90
khyug,90
sambha,90
shvadtha,90
dzri,90
mo'i'o,90
sr'a,89
aarga,89
cun,89
y'at,89
dzir,89
lata'i,89
tata,89
cil,89
hasti,89
aaka,89
mat,89
rke,89
sid,89
supa,89
rur,88
snub,88
phrar,88
glar,88
a'ita,88
pid,88
shvattha,88
y'ast'am,88
kyel,88
nyul,87
padmor,87
t'i'o,87
a'ama,87
hrem,87
rub,87
shid,87
aatta,87
hanti,87
gyin,87
dra',87
smag,87
dh'am,86
aina'o,86
landa,86
snur,86
ph'a,86
dagma,86
snyid,86
gardza,86
shung,85
sud,85
klu',85
cigkhyod,85
sgu,85
air,85
tstsh'a,85
sna',85
padm'a,85
lva,85
kr'u,84
spal,84
kshya,84
sandhi,84
dzr'i,84
rud,84
gi'u,84
sbyir,84
te',84
gzhugces,84
hre,84
khye'us,84
skye',84
tti,84
rda',84
rva'i,84
hn'a,83
mandi,83
